precdesc,age,aacong,conparty,conperct,conterms,aasenate,senparty,senterms,senperct,aavoter,gen2004,aa2004v,VAP3,BVAP3,bvperct,votperc,NBVAP,nbvote,nbvtpct,Nprecincts100
FAIRFIELD,4,0,0,71,5,0,1,2,51.7,56,1699,40,2144,67,.5970149,.79244405,2078,1659,.7983638,.27000001
PARKTON,3,0,1,72,4,0,1,4,99,383,923,313,2688,790,.39620253,.34337798,1852,610,.32937366,.41
JEF1,3,0,0,73,10,0,0,2,84.7,197,2036,162,2325,258,.62790698,.87569892,1990,1874,.94170856,1.59
EAST CENTE,3,0,0,55,3,0,1,3,57.4,153,1452,121,2619,233,.51931328,.5544101,2356,1331,.56494057,.23999999
OAKLAND HE,3,0,0,64,0,0,0,7,99,22,1225,19,2018,56,.3392857,.60703665,1871,1206,.64457512,.40000001
HORSE CREE,3,0,0,59,0,0,0,5,61.8,0,266,0,540,1,0,.4925926,523,266,.50860423,.17
W06,3,0,1,72,4,0,0,0,65.09999999999999,596,698,501,1425,1136,.44102111,.48982456,267,197,.73782772,.46000001
CLYDE SOUT,3,0,0,55,7,0,1,1,49,13,1305,10,2503,22,.45454547,.52137434,2387,1295,.54252201,.28999999
PCT 237,3,0,0,55,3,0,0,1,54.6,848,1543,728,3142,934,.77944326,.49108848,2004,815,.40668663,1.9
EH2,3,0,1,63,4,0,1,6,53.9,162,279,134,887,358,.37430167,.3145434,521,145,.27831095,.16
SOUTH NEWT,3,0,0,64,0,0,0,7,99,215,1666,182,3271,388,.46907216,.50932437,2748,1484,.54002911,.40000001
PCT 144,3,0,0,70,5,0,0,4,65.2,145,2184,121,3474,160,.75625002,.6286701,3008,2063,.68583775,1.9
MON1,3,0,0,73,10,0,1,3,56.2,231,882,187,1996,286,.65384614,.44188377,1646,695,.42223573,1.59
GAMEWELL #,3,0,0,64,0,0,0,9,99,298,2837,231,5725,464,.49784482,.49554586,5171,2606,.50396442,.23999999
G31,3,0,0,73,10,0,1,3,56.2,61,1070,53,1696,76,.69736844,.63089621,1559,1017,.65234125,1.59
JONAS RIDG,3,0,0,64,0,0,0,9,99,0,307,0,631,4,0,.48652932,626,307,.49041533,.31
GAP CIVIL,3,0,0,59,0,0,0,4,61.2,45,1864,37,3418,71,.52112675,.54534817,3306,1827,.55263156,.07
CALDWELL,3,0,1,64,9,0,1,4,65.7,156,1727,140,2323,200,.69999999,.7434352,2094,1587,.75787967,.43000001
G63,3,0,0,73,10,0,1,3,56.2,292,1100,232,2086,376,.61702126,.52732503,1646,868,.52733898,1.59
004,3,0,0,55,3,0,0,1,66.7,511,544,414,3523,1424,.29073033,.15441385,1716,130,.075757578,.46000001
FRISCO,3,0,0,71,5,0,1,10,66.59999999999999,0,425,0,761,1,0,.55847567,685,425,.62043798,.16
UNION GROV,3,0,0,59,0,0,0,7,99,24,890,20,1737,53,.3773585,.51237768,1520,870,.57236844,.28999999
NORTH KNOB,3,0,0,59,0,0,0,4,61.2,148,1768,114,3524,296,.38513514,.50170261,3161,1654,.52325213,.12
NORTH CLAY,3,0,1,63,4,0,0,1,57.7,469,2335,382,4792,680,.56176472,.48727044,3579,1953,.54568315,.34
LITTLERIVER,3,0,0,55,7,0,0,8,56.5,8,907,6,1257,8,.75,.72155929,1243,901,.72485924,.18000001
G27,3,0,0,73,10,0,1,3,56.2,277,2098,223,2685,367,.60762942,.78137803,2231,1875,.84043032,1.59
G42A,3,0,0,73,10,0,1,3,56.2,116,1952,105,2095,121,.86776859,.93174225,1901,1847,.97159392,1.59
GRISSETTOW,3,0,1,72,4,0,1,14,54.6,158,2255,113,3960,390,.2897436,.56944442,3114,2142,.68786126,.23
BENNETT,3,0,1,63,4,0,1,0,56.2,34,548,26,1007,57,.45614034,.54419065,828,522,.63043481,.23
PCT 88,3,0,0,70,5,0,0,4,65.2,166,1630,122,2998,202,.60396039,.54369581,2538,1508,.59416866,1.9
G05,3,0,1,59,1,0,1,1,64,1137,939,915,1608,1527,.59921414,.58395523,78,24,.30769232,1.59
SF2,3,0,0,73,10,0,0,2,84.7,45,1121,37,1451,60,.61666667,.77257067,1339,1084,.80955935,1.59
ANDREWS SO,3,0,0,55,7,0,0,8,56.5,24,985,9,1802,44,.20454545,.54661489,1696,976,.5754717,.16
02-01,3,0,0,55,3,0,0,7,66.2,194,1502,173,2770,296,.58445948,.5422383,2239,1329,.59356856,.43000001
PCT 37,3,0,0,70,5,0,1,3,99,44,1208,35,2360,69,.50724638,.51186442,2079,1173,.56421357,1.9
EAST YOUNG,3,0,1,63,4,0,1,6,53.9,207,1618,188,2481,252,.74603176,.65215641,1983,1430,.7211296,.17
ALALMBRYCTYW,3,0,0,55,7,0,0,8,56.5,10,3325,7,7461,53,.13207547,.44565073,7337,3318,.45222843,.050000001
RED OAK,3,0,0,71,5,0,1,2,60.1,122,1709,102,2283,196,.52040815,.74857646,2018,1607,.79633301,.25999999
006,3,0,0,70,5,0,0,1,66.7,47,1012,42,2094,108,.3888889,.48328558,1625,970,.59692305,.46000001
MARION #3,3,0,0,55,7,0,1,1,49,4,500,4,1042,17,.23529412,.47984645,1055,496,.47014219,.17
BAILEY,3,0,1,63,4,0,1,2,60.1,295,1430,257,2843,576,.44618055,.50298983,2193,1173,.53488374,.25999999
PCT 241,3,0,0,70,5,0,0,1,54.6,360,1975,296,3069,463,.63930887,.6435321,2365,1679,.70993656,1.9
RC2,3,0,0,73,10,0,0,2,84.7,202,1261,167,2044,210,.79523808,.61692756,1765,1094,.61983001,1.59
WILSON L,3,0,0,71,5,0,1,2,60.1,317,1479,280,2249,339,.82595873,.65762562,1856,1199,.6460129,.25
SHARPESBUR,3,0,0,59,0,0,0,7,99,54,1072,46,2007,70,.65714288,.53413051,1749,1026,.58662093,.28999999
BRUSHY FOR,3,0,0,59,0,0,0,5,61.8,22,2017,18,2661,52,.34615386,.75798571,2627,1999,.76094407,.2
GR,3,0,0,73,10,0,0,2,84.7,59,1428,46,2327,79,.58227849,.61366564,2164,1382,.63863218,1.59
G07,3,0,1,59,1,0,1,3,56.2,668,1025,510,2900,1335,.38202247,.35344827,1506,515,.34196547,1.59
PCT 108,3,0,0,55,3,0,1,3,99,1021,1207,821,3907,2075,.39566267,.30893269,1663,386,.23211065,1.9
STOK,3,0,0,73,10,0,0,2,84.7,140,1818,121,2505,169,.71597636,.72574848,2248,1697,.75489324,1.59
ROCKFISH,3,0,0,55,3,0,1,4,99,274,1255,227,3290,514,.44163424,.38145897,2397,1028,.42886943,.13
BOYD,3,0,0,55,7,0,0,8,56.5,103,1532,84,2578,180,.46666667,.59425914,2386,1448,.60687345,.18000001
ROARING CR,3,0,0,64,0,0,1,1,49,0,221,0,471,0,,.46921444,455,221,.48571429,.19
EBBS CHAPE,3,0,0,55,7,0,1,1,49,0,626,0,1039,1,0,.60250241,990,626,.63232321,.12
ANDERSON C,3,0,1,63,4,0,0,1,54.4,562,2538,449,7830,1659,.27064496,.32413793,5566,2089,.37531441,.22
PCT 125,3,0,0,70,5,0,1,3,99,382,727,331,1522,505,.65544552,.47766098,923,396,.42903575,1.9
ICARD 02,3,0,0,64,0,0,0,9,99,1,1077,0,2028,2,0,.53106511,2022,1077,.53264093,.31
CAROVA BEA,3,0,0,71,5,0,1,10,66.59999999999999,0,90,0,160,0,,.5625,133,90,.67669171,.11
BOSTIAN CR,3,0,0,73,10,0,0,1,60.2,30,1364,26,2406,52,.5,.56691605,2290,1338,.58427948,.44
SEVEN LAKE,3,0,0,73,10,0,0,1,54.4,48,2409,41,2969,124,.33064517,.81138432,2672,2368,.88622755,.23999999
LEXINGTON,3,0,0,73,10,0,0,2,99,81,3048,61,6816,213,.28638497,.4471831,6340,2987,.47113565,.41999999
51,2,0,1,64,9,0,1,0,56.2,694,3086,593,4069,758,.78232187,.75841731,3101,2493,.80393422,.55000001
04-06,3,0,0,55,3,0,0,7,66.2,233,967,195,3127,589,.33106962,.3092421,2297,772,.33609056,.43000001
WEST MARIO,3,0,0,55,7,0,1,1,49,85,1757,64,3532,153,.41830066,.49745187,3478,1693,.486774,.17
PATTERSON,3,0,0,64,0,0,0,9,99,14,1010,10,1939,18,.55555558,.52088708,1888,1000,.529661,.23999999
ST MARYS,3,0,1,64,9,0,1,4,65.7,167,1643,152,1904,197,.7715736,.86292017,1684,1491,.88539195,.43000001
PCT 49,3,0,0,70,5,0,1,3,99,76,1284,62,2575,195,.31794873,.49864078,2160,1222,.56574076,1.9
PCT 8,3,0,0,70,5,0,1,3,99,29,1588,20,2499,64,.3125,.63545418,2210,1568,.70950228,1.9
POND MOUNT,3,0,0,59,0,0,0,5,61.8,0,91,0,213,0,,.42723006,207,91,.43961352,.17
AVERYS CRE,3,0,0,55,7,0,0,1,66.7,48,1986,41,2906,50,.81999999,.68341362,2741,1945,.70959502,.72000003
PCT 203,3,0,0,70,5,0,1,3,99,990,2023,887,3110,1091,.81301558,.6504823,1833,1136,.61974907,1.9
PCT 19,3,0,0,70,5,0,0,4,65.2,13,1225,11,1778,14,.78571427,.68897641,1601,1214,.7582761,1.9
SOUTH SMIT,3,0,1,63,4,0,0,1,57.7,167,1900,136,4903,1004,.13545817,.38751784,3394,1764,.5197407,.34
PCT 128,3,0,0,70,5,0,0,1,54.6,353,1608,313,2809,389,.80462724,.57244569,2196,1295,.58970857,1.9
08 - OAKLA,3,0,0,71,5,0,0,1,57.7,203,1723,170,2932,248,.68548387,.58765346,2663,1553,.58317685,.30000001
PCT 119,3,0,0,70,5,0,0,4,65.2,54,1070,41,1880,108,.37962964,.56914896,1608,1029,.63992536,1.9
SCLAY,3,0,0,73,10,0,0,2,84.7,45,1316,41,2046,74,.55405408,.64320624,1898,1275,.67175972,1.59
NORTH WEST,3,0,0,59,0,0,0,4,61.2,62,818,48,1859,96,.5,.44002151,1737,770,.44329304,.28999999
PCT 240,3,0,0,70,5,0,0,1,54.6,61,2196,51,2960,67,.76119405,.74189192,2625,2145,.81714284,1.9
NASHVILLE,3,0,1,63,4,0,1,2,60.1,1320,3798,1140,6763,2544,.4481132,.56158507,4080,2658,.6514706,.25999999
PRICES CRE,3,0,0,55,7,0,1,1,49,3,749,2,1186,0,,.63153458,1163,747,.64230436,.11
GREEN RIVE,3,0,0,55,7,0,0,1,66.7,3,1349,3,2326,4,.75,.57996559,2182,1346,.61686528,.34999999
GOLDEN VAL,3,0,0,64,0,0,1,4,52.4,2,354,2,675,2,1,.52444446,667,352,.52773613,.23999999
FR2,3,0,0,73,10,0,1,1,64,253,1637,220,2510,263,.8365019,.65219122,2163,1417,.65510863,1.59
BLACKRIVER,3,0,1,72,4,0,1,8,63.4,135,825,120,1794,398,.30150753,.45986623,1370,705,.51459855,.64999998
BROAD CREE,3,0,0,71,5,0,1,2,51.7,24,1064,22,2092,77,.2857143,.50860423,1929,1042,.54017627,.34
CROUSE,3,0,0,64,0,0,0,1,68,11,562,11,1124,23,.47826087,.5,1037,551,.53134042,.28999999
002,3,0,0,55,3,0,0,1,66.7,329,909,268,2559,702,.38176638,.35521689,1519,641,.42198816,.46000001
TABERNACLE,3,0,0,73,10,0,0,1,64.7,9,1350,9,3168,37,.24324325,.42613637,3012,1341,.44521913,.40000001
CHURCHS IS,3,0,0,71,5,0,1,10,66.59999999999999,0,162,0,271,0,,.59778595,225,162,.72000003,.11
015,3,0,0,59,0,0,0,7,88.2,69,887,66,1488,88,.75,.59610218,1339,821,.61314416,1.01
CARTOOGECH,3,0,0,55,7,0,0,8,56.5,15,1130,9,1622,88,.10227273,.69667077,1496,1121,.74933153,.15000001
MONOGRAM,3,0,0,64,0,0,0,7,99,47,1041,34,1613,77,.44155845,.64538127,1465,1007,.68737203,.40000001
ARCHDALE 3,3,0,0,73,10,0,0,1,64.7,64,1830,50,3042,103,.48543689,.60157794,2828,1780,.6294201,.40000001
SMITH GROV,3,0,0,59,0,0,0,1,60.2,84,1799,60,2664,118,.50847459,.6753003,2349,1739,.74031502,.14
ARCHDALE 1,3,0,0,73,10,0,0,1,64.7,112,2324,83,2627,116,.71551722,.88465929,2416,2241,.92756623,.40000001
HIGHLANDS,3,0,0,55,7,0,0,8,56.5,2,1456,1,2234,2,.5,.65174574,2177,1455,.66835093,.15000001
LINCOLNTON,3,0,0,64,0,0,0,1,68,334,1951,251,4538,664,.37801206,.42992508,3651,1700,.46562585,.28999999
PIGEON,3,0,0,55,7,0,0,8,56.5,2,1606,2,2957,3,.66666669,.543118,2841,1604,.56458992,.28999999
SWAN QUART,3,0,0,71,5,0,1,10,66.59999999999999,133,356,86,726,247,.34817815,.49035811,502,270,.53784859,.07
SOUTH BLUE,3,0,0,55,7,0,0,1,66.7,9,1339,8,2578,10,.80000001,.51939487,2414,1331,.55136704,.34999999
HUNTERS BR,3,0,0,71,5,0,1,10,66.59999999999999,63,490,43,877,123,.34959349,.55872291,741,447,.60323888,.20999999
NCLAY1,3,0,0,73,10,0,0,2,84.7,172,1516,162,1974,179,.90502793,.76798379,1728,1354,.78356481,1.59
PCT 129,3,0,0,70,5,0,0,4,65.2,143,553,110,2314,296,.37162161,.23898011,1831,443,.2419443,1.9
12-08,3,0,0,55,3,0,0,7,66.2,147,629,115,2505,429,.26806527,.2510978,1879,514,.27354977,.43000001
ASHEBORO S,3,0,0,73,10,0,0,1,64.7,35,1076,28,2300,169,.16568047,.4678261,2050,1048,.5112195,.40000001
PEARCES,3,0,1,63,4,0,1,6,53.9,54,790,46,1571,108,.42592594,.50286442,1302,744,.5714286,.17
RAEFORD #3,3,0,0,55,3,0,1,4,99,924,1143,720,2913,1470,.48979592,.39237899,1246,423,.33948636,.13
PCT 72,3,0,0,70,5,0,0,4,65.2,21,1133,14,1705,35,.40000001,.66451615,1515,1119,.73861384,1.9
MYRTLE,3,0,0,70,5,0,1,6,53,755,939,628,2761,1456,.43131867,.34009418,1279,311,.24315871,.46000001
NEUSE,3,0,0,71,5,0,1,6,54.5,394,1770,329,3849,906,.36313465,.4598597,2997,1441,.48081416,.22
BALSGLOUC,3,0,0,55,7,0,0,8,56.5,0,473,0,841,1,0,.56242567,836,473,.56578946,.18000001
MOREHEAD 3,3,0,0,71,5,0,1,2,51.7,89,1991,77,3039,174,.44252872,.6551497,2743,1914,.69777614,.34
CG2,3,0,0,73,10,0,1,3,56.2,168,1263,143,1661,186,.76881719,.76038533,1420,1120,.78873241,1.59
EAST LAKE,3,0,0,71,5,0,1,10,66.59999999999999,0,47,0,120,0,,.39166668,108,47,.43518519,.16
G50,3,0,1,59,1,0,1,3,56.2,670,1128,514,4451,1430,.35944057,.25342619,2908,614,.21114168,1.59
BRYAN,3,0,0,59,0,0,0,4,61.2,5,1010,5,2086,10,.5,.48418024,2045,1005,.49144253,.28999999
ASHBROOK,3,0,0,70,5,0,1,6,53,411,2809,342,5786,794,.43073049,.48548219,4895,2467,.50398368,.46000001
701,3,0,0,59,0,0,0,7,88.2,58,877,45,1689,382,.11780105,.51924217,1250,832,.6656,1.01
ASHEBORO M,3,0,0,73,10,0,0,1,64.7,93,837,81,2718,216,.375,.30794701,2407,756,.31408393,.40000001
RUTHERFORD,3,0,0,55,7,0,1,4,52.4,323,2951,259,5551,725,.35724139,.53161591,4783,2692,.56282669,.23999999
UPPER FORK,3,0,0,64,0,0,0,9,99,0,491,0,782,1,0,.62787724,779,491,.63029528,.31
SHILOH-A,3,0,0,64,0,0,0,7,99,263,3407,234,6565,439,.53302962,.51896423,5530,3173,.5737794,.28999999
WEST NEWTO,3,0,0,64,0,0,0,7,99,142,953,119,1688,205,.58048779,.56457347,1414,834,.58981615,.40000001
NEW MARKET,3,0,0,73,10,0,0,1,64.7,49,2415,42,5366,104,.40384614,.4500559,5063,2373,.46869445,.40000001
ABBOTTS,3,0,1,72,4,0,1,8,63.4,147,388,115,819,225,.51111114,.47374848,580,273,.47068965,.17
BYNUM,3,0,1,64,9,0,1,0,56.2,164,1192,138,1955,243,.56790125,.60971868,1493,1054,.70596117,.23
SHELBY #2,3,0,0,64,0,0,1,4,52.4,343,1991,275,3405,794,.3463476,.58472836,2566,1716,.6687451,.28
PCT 215,3,0,0,70,5,0,0,4,65.2,192,1868,161,2730,253,.63636363,.6842491,2248,1707,.75934166,1.9
BRUSHY MOU,3,0,0,59,0,0,0,5,61.8,0,306,0,434,4,0,.70506912,422,306,.72511846,.28999999
G47,3,0,1,59,1,0,1,3,56.2,570,1088,449,3012,983,.456765,.36122179,1953,639,.32718894,1.59
TRENT-2,3,0,0,71,5,0,1,6,54.5,27,501,25,915,42,.59523809,.54754096,889,476,.53543305,.22
WALNUT,3,0,0,55,7,0,1,1,49,0,772,0,1442,0,,.53536755,1376,772,.56104654,.12
NM13,3,0,0,71,5,0,1,1,51.8,59,548,50,1151,118,.42372882,.47610775,1005,498,.49552238,.23
PCT 226,3,0,0,70,5,0,0,4,65.2,165,1990,132,3748,192,.6875,.53094983,3228,1858,.57558858,1.9
PCT 2,2,0,0,55,3,0,1,3,99,273,1363,188,3081,674,.27893174,.44238883,2184,1175,.53800368,1.9
041,3,0,0,70,5,0,0,1,66.7,54,1447,42,1992,72,.58333331,.72640562,1570,1405,.89490443,.46000001
GREEN CREE,3,0,0,55,7,0,0,1,66.7,137,1250,111,2349,240,.46250001,.53214133,2042,1139,.55778646,.090000004
OWASA,2,0,1,64,9,0,1,4,65.7,332,1234,258,3082,556,.46402878,.40038934,2492,976,.3916533,.43000001
PCT 236,3,0,0,70,5,0,0,1,66.7,58,2107,47,3413,68,.69117647,.61734545,3036,2060,.67852437,1.9
LIBERTY #4,3,0,0,73,10,0,0,2,99,4,1343,3,2983,18,.16666667,.4502179,2847,1340,.47067088,.41999999
PCT 121,3,0,0,70,5,0,0,4,65.2,128,2676,100,3833,141,.70921987,.69814765,3351,2576,.76872575,1.9
NEILLS CRE,3,0,1,63,4,0,0,1,54.4,249,1856,199,5440,720,.27638888,.34117648,4258,1657,.38914984,.22
PCT 233,3,0,0,70,5,0,0,4,65.2,70,2720,57,3681,99,.57575756,.73892963,3251,2663,.81913257,1.9
W05,3,0,1,72,4,0,0,0,65.09999999999999,93,1066,72,2007,204,.35294119,.53114098,1669,994,.59556621,.46000001
STALEY,3,0,0,73,10,0,0,1,64.7,119,1110,98,2001,186,.52688169,.55472267,1746,1012,.57961053,.40000001
SECESSION,3,0,1,72,4,0,1,14,54.6,143,3055,128,6400,266,.48120302,.47734374,5350,2927,.54710281,.23
CONCORD,3,0,0,59,0,0,0,7,99,215,2524,191,4945,376,.50797874,.51041454,4125,2333,.56557578,.28999999
HAZELWOOD,3,0,0,55,7,0,1,1,49,4,544,3,1423,49,.06122449,.38229093,1322,541,.40922844,.28999999
FAIRPLAINS,3,0,0,59,0,0,0,5,61.8,170,937,146,2161,249,.58634537,.43359557,1876,791,.4216418,.28999999
HURDLE MIL,3,0,1,59,1,0,1,4,65.7,105,450,94,799,172,.54651165,.56320399,607,356,.58649093,.14
13,3,0,0,70,5,0,0,1,66.7,8,1409,7,2559,12,.58333331,.55060571,2083,1402,.67306769,.46000001
SOUTH LEES,3,0,1,72,4,0,1,14,54.6,0,183,0,304,0,,.60197371,304,183,.60197371,.25999999
PCT 201,3,0,0,70,5,0,0,1,66.7,1196,2865,1053,4898,1318,.7989378,.58493263,3249,1812,.55771005,1.9
TUCKAHOE,3,0,0,71,5,0,1,1,51.8,74,367,57,696,122,.46721312,.52729887,573,310,.54101223,.07
04,3,0,1,64,9,0,1,0,56.2,60,1047,52,1646,239,.21757323,.63608748,1318,995,.75493169,.55000001
EGYPT,3,0,0,55,7,0,1,1,49,0,344,0,570,0,,.60350877,559,344,.61538464,.11
06,3,0,0,55,3,0,1,3,57.4,107,288,84,887,204,.41176471,.32468995,679,204,.30044183,.1
PENDERLEA,3,0,1,72,4,0,1,14,54.6,29,293,27,583,62,.43548387,.50257289,476,266,.55882353,.17
EAST KANNA,3,0,0,73,10,0,0,1,60.2,99,1252,85,3181,181,.46961325,.39358693,2919,1167,.39979446,.44
123,3,0,0,59,0,0,0,7,88.2,169,1437,145,2108,196,.73979592,.68168879,1829,1292,.70639694,1.01
RAEFORD #1,3,0,0,55,3,0,1,4,99,622,935,470,1831,901,.52164263,.51064992,803,465,.57907844,.13
MARBLE,3,0,0,55,7,0,0,8,56.5,2,751,1,1444,7,.14285715,.52008313,1386,750,.54112554,.16
FAITH,3,0,0,73,10,0,0,1,60.2,21,1411,15,2024,24,.625,.69713438,1946,1396,.71736896,.44
GRIER,3,0,0,70,5,0,1,6,53,200,984,164,2735,476,.34453782,.35978061,2215,820,.37020317,.46000001
HERRING,3,0,1,72,4,0,1,6,54.5,32,527,25,835,59,.42372882,.63113773,750,502,.66933334,.23
FRYING PAN,3,0,1,72,4,0,1,14,54.6,76,2173,50,3608,174,.28735632,.60227275,2995,2123,.70884806,.23
GOLD KNOB,3,0,0,73,10,0,0,1,60.2,10,958,7,1521,10,.69999999,.62984878,1470,951,.6469388,.44
PCT 9,3,0,0,70,5,0,1,3,99,262,1600,176,2965,554,.31768954,.53962898,2188,1424,.65082264,1.9
906,3,0,0,59,0,0,0,7,88.2,278,2059,258,3166,338,.76331359,.65034747,2705,1801,.66580409,1.01
PENSACOLA,3,0,0,55,7,0,1,1,49,0,340,0,577,0,,.58925474,566,340,.6007067,.11
PUPPY CREE,3,0,0,55,3,0,1,4,99,1016,2209,787,5294,1635,.48134556,.41726482,3159,1422,.45014244,.13
MARS HILL,3,0,0,55,7,0,1,1,49,45,1876,34,3632,128,.265625,.51651984,3343,1842,.55100209,.12
RAEFORD #4,3,0,0,55,3,0,1,4,99,423,833,319,1928,786,.40585241,.43205395,986,514,.52129817,.13
GREENS CRE,3,0,0,55,7,0,0,8,56.5,2,556,2,849,3,.66666669,.65488809,805,554,.68819875,.18000001
BARKERS CR,3,0,0,55,7,0,0,8,56.5,0,655,0,1289,8,0,.50814587,1218,655,.53776681,.18000001
602,3,0,0,59,0,0,1,3,99,597,2186,538,3468,597,.90117252,.6303345,2746,1648,.60014564,1.01
JACKS CREE,3,0,0,55,7,0,1,1,49,5,928,4,1318,17,.23529412,.70409709,1276,924,.7241379,.11
CALYPSO,3,0,0,71,5,0,1,6,54.5,67,487,47,1105,188,.25,.44072399,871,440,.50516647,.19
PISGAH FOR,3,0,0,55,7,0,0,8,56.5,56,821,35,1534,108,.32407406,.53520209,1419,786,.55391121,.18000001
FLAT RIVER,3,0,1,59,1,0,1,4,65.7,383,2437,349,3770,500,.69800001,.64641911,3165,2088,.65971565,.14
NORTH PEMB,3,0,1,72,4,0,1,4,99,102,1104,89,3390,318,.27987421,.32566372,2998,1015,.33855903,.41
POWELLS PO,3,0,0,71,5,0,1,10,66.59999999999999,70,782,61,1775,113,.539823,.44056338,1381,721,.52208543,.11
NEWHOPE,3,0,0,73,10,0,0,1,64.7,2,492,2,885,8,.25,.55593222,844,490,.58056873,.40000001
SYLVA-NORT,3,0,0,55,7,0,0,8,56.5,25,953,13,1638,44,.29545453,.58180708,1516,940,.62005275,.18000001
WILLIAMSON,3,0,0,55,7,0,0,8,56.5,6,1107,6,1420,8,.75,.77957749,1405,1101,.78362989,.18000001
G14,3,0,1,59,1,0,1,3,56.2,19,919,12,1170,26,.46153846,.78547007,1101,907,.82379657,1.59
BREVARD #1,3,0,0,55,7,0,0,8,56.5,29,1095,25,1836,52,.48076922,.59640521,1775,1070,.60281688,.18000001
CASHIERS,3,0,0,55,7,0,0,8,56.5,0,1128,0,1500,0,,.75199997,1427,1128,.79046953,.18000001
ELDORA,3,0,0,59,0,0,0,4,61.2,13,1217,11,2629,25,.44,.46291366,2566,1206,.46999222,.28999999
BREVARD #3,3,0,0,55,7,0,0,8,56.5,49,1139,44,1633,77,.5714286,.69748926,1548,1095,.70736432,.18000001
WHITEOAK,3,0,0,55,7,0,1,1,49,0,166,0,271,0,,.61254615,261,166,.6360153,.28999999
CATHEYS CR,3,0,0,55,7,0,0,8,56.5,4,1405,3,2229,4,.75,.63032752,2214,1402,.63324302,.18000001
MORGANTON,3,0,0,64,0,0,0,9,99,872,7640,717,22270,2463,.2911084,.34306243,19763,6923,.35030106,.31
MERRITTS,3,0,1,64,9,0,1,0,56.2,71,986,58,1771,159,.36477986,.55674762,1405,928,.6604982,.23
04-09,3,0,0,55,3,0,0,7,66.2,247,1229,202,2073,389,.5192802,.59286058,1524,1027,.67388451,.43000001
MORVEN/MCF,3,0,0,55,3,0,1,3,57.4,747,661,436,1326,896,.48660713,.4984917,433,225,.51963049,.11
LAKE LANDI,3,0,0,71,5,0,1,10,66.59999999999999,201,353,156,545,304,.5131579,.64770645,252,197,.78174603,.07
THOMPSON,3,0,1,72,4,0,1,4,99,24,186,20,631,74,.27027026,.29477021,544,166,.30514705,.41
DUNNS ROCK,3,0,0,55,7,0,0,8,56.5,114,1635,91,1950,115,.79130435,.83846152,1826,1544,.84556407,.18000001
DOGWOOD AC,3,0,1,64,9,0,1,4,65.7,59,1737,49,1876,77,.63636363,.92590618,1774,1688,.95152199,.43000001
012,3,0,0,59,0,0,0,7,88.2,74,1498,66,2908,110,.60000002,.5151307,2676,1432,.53512704,1.01
LAKE JUNAL,3,0,0,55,7,0,1,1,49,1,1068,0,1559,4,0,.68505454,1496,1068,.71390373,.28999999
WEST KANNA,3,0,0,73,10,0,0,1,60.2,89,935,74,2710,254,.29133859,.34501845,2389,861,.36040184,.44
PCT 61,3,0,0,55,3,0,1,3,99,650,1495,543,3694,1028,.5282101,.40471035,2420,952,.39338842,1.9
SHERWOOD,3,0,0,70,5,0,1,6,53,294,1507,234,3120,453,.51655626,.48301283,2615,1273,.48680687,.46000001
H25,3,0,0,73,10,0,0,2,99,174,1965,152,2112,181,.83977902,.93039775,1859,1813,.97525549,1.59
PCT 47,3,0,0,70,5,0,1,3,99,70,1542,55,2229,77,.71428573,.69179004,1953,1487,.76139271,1.9
BEAVER DAM,3,0,0,55,3,0,1,3,57.4,477,1084,385,3093,1268,.30362776,.35046881,1823,699,.38343391,.16
DANBURY,3,0,0,59,0,0,0,4,61.2,0,535,0,986,25,0,.54259634,949,535,.56375134,.2
H14,3,0,0,73,10,0,0,2,99,16,1100,13,1424,19,.68421054,.7724719,1353,1087,.80339986,1.59
HOLLY SPRI,3,0,0,64,0,0,1,4,52.4,28,332,22,793,58,.37931034,.41866329,723,310,.42876902,.28
COLUMBIA,3,0,1,72,4,0,1,14,54.6,531,752,403,1717,950,.42421052,.4379732,702,349,.49715099,.17
WALNUT GRO,3,0,0,59,0,0,0,5,61.8,0,437,0,951,1,0,.45951629,932,437,.46888411,.28999999
PCT 202,3,0,0,70,5,0,0,1,54.6,350,2559,271,3581,399,.67919797,.71460485,2888,2288,.79224378,1.9
PCT 21,3,0,0,70,5,0,1,3,99,181,1146,140,2776,365,.38356164,.41282421,2188,1006,.45978063,1.9
PISGAH VIE,3,0,0,55,7,0,0,1,66.7,9,1315,6,2042,38,.15789473,.64397651,1883,1309,.6951673,.34999999
BUG HILL 2,3,0,1,72,4,0,1,14,54.6,72,159,58,406,138,.42028984,.39162561,268,101,.37686568,.25999999
FREEMAN,3,0,0,59,0,0,0,4,61.2,196,289,161,519,303,.53135312,.55684006,214,128,.59813082,.2
GROVER,3,0,0,64,0,0,1,4,52.4,321,1639,285,3504,510,.55882353,.46775115,2943,1354,.46007475,.28
WHITEOAK,3,0,0,55,7,0,0,1,66.7,71,891,38,1575,115,.33043477,.5657143,1413,853,.60368013,.090000004
SHALLOTTE,3,0,1,72,4,0,1,14,54.6,224,1377,186,3067,375,.49599999,.44897294,2348,1191,.50724018,.23
09,3,0,0,55,3,0,1,3,57.4,273,864,226,2422,543,.41620627,.35672998,1868,638,.34154177,.1
H21,3,0,0,73,10,0,0,2,99,99,810,84,1380,103,.815534,.5869565,1229,726,.59072417,1.59
